nombre	inicio	final	longitud	producto
SAR0581	611789	612472	683	putative 2-amino-3-ketobutyrate coenzyme A
SAR0582	612588	613250	662	ThiJ/PfpI family protein
SAR0583	613243	613860	617	putative L-ribulokinase
SAR0584	613927	614397	470	conserved hypothetical protein
SAR0585	614544	615413	869	putative aminotransferase
ung	615433	615999	566	haloacid dehalogenase-like hydrolase
SAR0587	616430	619150	2720	putative deoxyadenosine kinase protein
SAR0588	619547	622960	3413	putative deoxyadenosine kinase protein
SAR0589	623079	624551	1472	putative deaminase
SAR0590	624677	626167	1490	putative haloacid dehalogenase-like hydrolase
SAR0591	626449	627327	878	conserved hypothetical protein
SAR0592	627340	628005	665	putative surface anchored protein
SAR0593	628019	628378	359	bone sialoprotein-binding protein
pta	628658	629416	758	putative glycosyl transferase
SAR0595	629493	630125	632	putative glycosyl transferase
mvaK1	630127	630675	548	conserved hypothetical protein
mvaD	630788	631435	647	conserved hypothetical protein
mvaK2	631938	633338	1400	conserved hypothetical protein
SAR0599	633590	633883	293	putative glucosamine-6-phosphate isomerase
SAR0600	633883	635259	1376	putative hexulose-6-phosphate synthase
SAR0601	635261	636400	1139	putative 6-phospho-3-hexuloisomerase
SAR0602	636375	636740	365	putative haloacid dehalogenase-like hydrolase
SAR0603	636743	637012	269	putative proline/betaine transporter
SAR0604	637213	637380	167	putative membrane protein
SAR0607	637913	638743	830	putative AMP-binding enzyme
SAR0608	638927	639583	656	putative ketoacyl-CoA thiolase
SAR0609	639584	639964	380	hypothetical protein
SAR0610	640097	640465	368	hypothetical protein
SAR0611	640586	642070	1484	hypothetical protein
SAR0612	642212	642664	452	conserved hypothetical protein
adhA	642677	643441	764	putative uracil-DNA glycosylase
SAR0614	643752	643949	197	hypothetical protein
argS	643989	644741	752	putative membrane protein
SAR0617	644909	645895	986	putative amino acid permease
SAR0618	645898	646734	836	putative membrane protein
SAR0619	647321	648241	920	putative membrane protein
SAR0620	648246	649229	983	hypothetical protein
SAR0621	649242	650318	1076	conserved hypothetical protein
SAR0622	650495	650836	341	putative phosphate acetyltransferase
SAR0623	650888	652210	1322	lipoate-protein ligase A protein
SAR0624	652197	652637	440	mevalonate kinase
sarA	653261	654655	1394	mevalonate diphosphate decarboxylase
SAR0626	654659	655294	635	phosphomevalonate kinase
SAR0627	655260	655529	269	hypothetical protein
SAR0628	655530	656151	621	pyridine nucleotide-disulphide oxidoreductase
SAR0629	656291	656920	629	putative DNA-binding protein
SAR0630	657373	658311	938	putative membrane protein
SAR0631	658521	659057	536	putative membrane protein
SAR0632	659226	659702	476	hypothetical protein
SAR0633	659742	661037	1295	putative membrane protein (pseudogene)
SAR0634	661080	661586	506	putative membrane protein
SAR0635	662085	663095	1010	aldo/keto reductase family protein
SAR0637	663359	663787	428	conserved hypothetical protein
SAR0638	663784	665445	1661	putative acetyltransferase
SAR0641	665852	666487	635	putative phosphohydrolase
SAR0642	666806	667693	887	conserved hypothetical protein
SAR0643	667843	668793	950	alcohol dehydrogenase
sirR	668848	669567	719	conserved hypothetical protein
SAR0645	669551	670351	800	putative arginyl-tRNA synthetase
tagA	670487	670993	506	putative DNA repair protein
tagH	671155	671871	716	putative transport system lipoprotein
tagG	672040	672828	788	FecCD transport family protein
tagB	673078	673452	374	haloacid dehalogenase-like hydrolase
SAR0650	674399	675328	929	putative hydrolase
tagD	675521	675745	224	putative exported protein
pbp4	675762	675965	203	putative membrane protein
SAR0653	676120	676680	560	putative esterase
SAR0654	676699	679101	2402	staphylococcal accessory regulator A
SAR0655	679088	679513	425	putative membrane protein
SAR0656	679510	679854	344	hypothetical protein
fhuA	679844	681340	1496	hypothetical protein
fhuB	681341	681823	482	phage integrase family protein
fhuD	681820	682122	302	putative NADH-Ubiquinone/plastoquinone (complex
SAR0660	682097	682456	359	putative membrane protein
SAR0661	682874	684916	2042	putative membrane protein
SAR0662	685002	686150	1148	putative NADH-Ubiquinone/plastoquinone (complex
SAR0663	686154	686688	534	putative membrane protein
SAR0664	687790	688719	929	putative membrane protein
SAR0665	688716	689552	836	putative membrane protein (pseudogene)
SAR0666	689546	690289	743	sodium/hydrogen exchanger family protein
SAR0667	690411	691055	644	putative membrane protein
SAR0668	691135	691887	752	putative haloacid dehydrogenase-like hydrolase
SAR0669	692123	692887	764	ABC transporter extracellular binding protein
SAR0670	692947	693741	794	ABC transporter permease protein
SAR0671	694067	694900	833	ABC transporter ATP-binding protein
SAR0672	694999	696102	1103	putative metalloregulator
SAR0673	696099	697160	1061	putative membrane protein
SAR0674	697223	697621	398	teichoic acid biosynthesis protein
SAR0675	697738	699033	1295	teichoic acid ABC transporter ATP-binding
SAR0676	699454	701181	1727	teichoic acid ABC transporter permease protein
SAR0679	701252	701332	80	teichoic acid biosynthesis protein
SAR0680	701540	702769	1229	putative glycosyl transferase
SAR0681	703294	704127	833	glycerol-3-phosphate cytidylyltransferase
SAR0682	704409	705206	797	penicillin-binding protein 4
SAR0683	705242	706246	1004	ABC transporter ATP-binding protein
SAR0684	706243	707259	1016	hypothetical protein
SAR0687	707493	708461	968	putative Na+ dependent nucleoside transporter
SAR0688	708503	709087	584	putative membrane protein
arsR1	709080	709442	362	ferrichrome transport ATP-binding protein
arsB1	709558	710055	497	ferrichrome transport permease
arsC	710511	711578	1067	ferrichrome transport permease
SAR0693	711729	712772	1043	putative dihydroxyacetone kinase
SAR0694	713100	713528	428	putative dihydroxyacetone kinase
SAR0695	713726	714232	506	conserved hypothetical protein
SAR0696	714345	715268	923	hypothetical protein
SAR0697	715284	715958	674	putative membrane protein
SAR0698	715951	716991	1040	putative esterase
SAR0702	717138	717899	761	hypothetical protein
SAR0703	717889	719778	1889	putative acetyltransferase
SAR0704	720394	721011	617	hypothetical protein
SAR0705	721027	722034	1007	putative response regulator protein
SAR0706	722621	723418	797	putative sensor histidine kinase protein
SAR0710	723779	724423	644	putative ABC transporter protein
SAR0714	725107	727259	2152	putative ABC transporter permease
SAR0715	727339	727764	425	conserved hypothetical protein
SAR0716	727954	728670	716	putative phosphate transport protein
SAR0717	728670	729143	473	putative exported protein
SAR0718	729496	730140	644	putative membrane protein
SAR0719	730258	731124	866	AraC family regulatory protein (pseudogene)
SAR0720	731256	732476	1220	hypothetical protein
SAR0721	732473	732904	431	conserved hypothetical protein
SAR0722	733183	734391	1208	conserved hypothetical protein
cadA	734448	735122	674	hypothetical protein
cadC	735157	735369	212	LysR family regulatory protein
SAR0725	735689	736024	335	putative sugar efflux transporter
SAR0726	736085	736399	314	putative membrane protein (pseudogene)
SAR0728	736399	737688	1289	putative transposase (pseudogene)
SAR0729	737706	738101	395	putative transposase
SAR0730	738308	738466	158	putative membrane protein
SAR0731	738481	738774	293	recombinase (fragment)
SAR0732	738849	740783	1934	arsenical resistance operon repressor 1
SAR0733	740787	741098	311	arsenical pump membrane protein 1
SAR0734	741110	741736	626	arsenate reductase
SAR0735	742098	743744	1646	putative membrane protein
bacA	743899	744539	640	putative exported protein
SAR0737	745289	745432	143	putative membrane protein
SAR0738	745474	746334	860	putative exported protein
SAR0739	746421	746762	341	ABC transporter ATP-binding protein
SAR0740	746836	746967	131	putative transposase
SAR0741	746977	747081	104	plasmid recombination enzyme (pseudogene)
SAR0742	747622	748364	742	hypothetical protein
SAR0743	748482	748598	116	plasmid replication initiation protein
SAR0744	748651	748653	2	putative DNA-binding protein
SAR0745	749717	749902	185	hypothetical protein
SAR0746	750428	750637	209	putative membrane protein
SAR0747	750819	751142	323	putative replication-associated protein
norA	751371	751463	92	hypothetical protein
SAR0749	751765	752586	821	putative replication initiation protein
SAR0750	752711	753706	995	putative replication protein (fragment)
SAR0751	754041	754616	575	putative membrane protein
SAR0752	754883	756928	2045	hypothetical protein
fruA	756943	758376	1433	putative membrane protein
SAR0754	758443	760089	1646	LysR family regulatory protein
SAR0755	760452	762632	2180	putative membrane protein
SAR0756	762625	762990	365	putative resolvase
SAR0757	763228	763605	377	putative cation exporting ATPase protein
saeS	763700	764374	674	multicopper oxidase protein
saeR	765037	765726	689	putative transposase
SAR0760	765853	766296	443	probable cadmium-transporting ATPase
SAR0761	766363	766752	389	putative cadmium efflux system accessory
SAR0762	766890	767189	299	Tn554 transposase C
SAR0763	767269	767811	542	putative transposase
SAR0764	767906	768472	566	putative membrane protein
SAR0765	768474	768932	458	putative acetyltransferase
SAR0766	768935	769618	683	putative lipoprotein
SAR0767	769790	770665	875	hypothetical protein
SAR0768	770884	772515	1631	putative acetyltransferase
SAR0769	772512	774185	1673	conserved hypothetical protein
SAR0770	774312	774755	443	conserved hypothetical protein
SAR0771	774982	775908	926	putative exported protein
SAR0772	776011	776919	908	putative undecaprenol kinase
SAR0773	776954	777241	287	ABC transporter ATP-binding protein
SAR0774	777524	779077	1553	ABC transporter ATP-binding protein
SAR0775	779163	780536	1373	MarR family regulatory protein
SAR0776	780691	780975	284	putative cobalamin synthesis protein
SAR0777	780972	781592	620	aldo/keto reductase family protein
SAR0778	781776	782198	422	putative membrane protein
SAR0779	782414	783580	1166	putative sodium:sulfate symporter protein
SAR0780	783865	784329	464	putative DNA photolyase
SAR0781	784503	784985	482	putative membrane protein
SAR0782	785238	785999	761	putative membrane protein
SAR0783	785996	786916	920	conserved hypothetical protein
SAR0784	786922	788880	1958	fluoroquinolone resistance protein
rir1	789183	790364	1181	putative exported protein
rir2	790585	791934	1349	conserved hypothetical protein
sstA	792148	792987	839	DeoR ramily regulatory protein
sstB	793119	794102	983	putative phosphofructokinase
sstC	794174	795229	1055	PTS transport system, fructose-specific IIABC
sstD	795229	795915	686	putative N-acetylglucosamine-6-phosphate
SAR0791	795890	796363	473	putative membrane protein
murB	796705	797145	440	aldo/keto reductase family protein
SAR0793	797425	798009	584	putative glucosyl transferase
SAR0794	798108	798821	713	histidine kinase protein
SAR0795	798825	799244	419	response regulator protein
SAR0796	799246	799914	668	putative membrane protein
pepT	800265	800858	593	putative lipoprotein
SAR0798	800842	801993	1151	putative membrane protein
SAR0799	801993	802601	608	putative radical activating enzyme
SAR0800	802667	802873	206	putative 6-pyruvoyl tetrahydropterin synthase
SAR0801	802961	803671	710	conserved hypothetical protein
SAR0802	803655	804659	1004	glutamine amidotransferase class-I protein
SAR0803	805133	807073	1940	para-aminobenzoate synthase component
SAR0804	807351	809228	1877	putative para-aminobenzoate synthetase
SAR0805	809240	811021	1781	putative membrane protein
SAR0806	811242	812219	977	conserved hypothetical protein
secA	812212	813726	1514	conserved hypothetical protein
prfB	813966	815024	1058	putative sulfatase
SAR0809	815183	815725	542	ABC transporter ATP-binding protein
SAR0810	815730	815864	134	putative ATP-dependent DNA helicase
SAR0811	816277	817194	917	ABC transporter ATP-binding protein
uvrB	817464	818969	1505	ABC transporter permease protein
uvrA	819309	819809	500	putative aminotransferase
hprK	819829	820695	866	conserved hypothetical protein
lgt	821497	821895	398	hypothetical protein
SAR0816	821858	823963	2105	putative diacylglycerol kinase protein
SAR0817	824083	825054	971	putative proton-dependent oligopeptide transport
trxB	825431	826402	971	conserved hypothetical protein
SAR0820	826389	827345	956	putative membrane protein
SAR0821	827342	828103	761	conserved hypothetical protein
SAR0822	828218	829246	1028	ribonucleoside-diphosphate reductase alpha
clpP	829563	829877	314	ribonucleoside-diphosphate reductase beta chain
SAR0824	829895	830818	923	FecCD transport family protein
SAR0825	830945	831463	518	FecCD transport family protein
SAR0826	831583	832461	878	ABC transporter ATP-binding protein
gapR	832615	832935	320	lipoprotein
gap1	833360	834484	1124	hypothetical protein
pgk	834672	835898	1226	putative UDP-N-acetylenolpyruvoylglucosamine
tpiA	835912	836406	494	hypothetical protein
pgm	836424	837185	761	putative lipoprotein
eno	837381	838451	1070	conserved hypothetical protein
SAR0833	838769	839824	1055	putative glycerate kinase
secG	839988	840629	641	putative peptidase T
est	840773	841639	866	putative membrane protein
rnr	842003	843085	1082	putative membrane protein
smpB	843078	843752	674	putative membrane protein
tmRNA	843813	844385	572	putative glycosyl transferase
SAR0839	844799	847330	2531	putative membrane protein
SAR0840	847645	847716	71	conserved hypothetical protein
SAR0841	849524	850363	839	putative helicase
clfA	850537	851187	650	conserved hypothetical protein
SAR0845	851184	851420	236	putative S30EA family ribosomal protein
SAR0846	851683	853674	1991	preprotein translocase SecA subunit
nuc	853682	856528	2846	peptide chain release factor 2
cspC	857139	858071	932	putative exported protein
SAR0849	858077	858919	842	putative phosphohydrolase
SAR0850	858927	859412	485	putative membrane protein
SAR0851	859420	860859	1439	excinuclease ABC subunit B
SAR0852	860926	861861	935	excinuclease ABC subunit A
SAR0853	862629	863540	911	HPr kinase/phosphatase
SAR0854	863537	864532	995	prolipoprotein diacylglyceryl transferase
SAR0855	864641	865585	944	putative acetyltransferase
SAR0856	866154	866741	587	conserved hypothetical protein
SAR0857	866923	868557	1634	putative thioredoxin reductase
SAR0858	868764	869666	902	conserved hypothetical protein
SAR858a	870369	870998	629	conserved hypothetical protein
SAR0859	871492	872505	1013	conserved hypothetical protein
SAR0860	872558	873568	1010	putative ATP-dependent Clp protease proteolytic
SAR0861	873707	874897	1190	putative malolactic enzyme
SAR0862	875019	875780	761	conserved hypothetical protein
SAR0863	875783	877300	1517	putative exported protein
gcvH	877430	878734	1304	glycolytic operon regulator
SAR0865	879071	879529	458	glyceraldehyde 3-phosphate dehydrogenase 1
SAR0867	879596	879829	233	phosphoglycerate kinase
SAR0868	879958	880698	740	triosephosphate isomerase
SAR0870	880732	883104	2372	putative 2,3-bisphosphoglycerate-independent
SAR0871	883126	883590	464	putative enolase
SAR0872	883681	884039	358	putative membrane protein
SAR0874	884556	885170	614	putative protein-export membrane protein
SAR0875	885458	886186	728	putative carboxylesterase
SAR0876	886785	887306	521	putative ribonuclease R
SAR0877	887445	887975	530	putative tmRNA-binding protein
csdB	888239	891328	3089	putative membrane protein
SAR0879	891549	893056	1507	putative lipoprotein
SAR0880	893407	894432	1025	putative membrane protein
SAR0881	894763	895320	557	putative acetyltransferase
SAR0882	895661	896347	686	clumping factor
SAR0883	896704	896904	200	putative exported protein (pseudogene)
SAR0884	897401	897619	218	putative exported protein
SAR0885	897681	897965	284	putative exported protein
SAR0886	898053	898622	569	thermonuclease precursor
lipA	898810	898998	188	putative cold shock protein
SAR0888	899027	899287	260	hypothetical protein
SAR0889	899628	899831	203	hypothetical protein
SAR0890	899828	900064	236	putative exported protein
SAR0891	900289	900870	581	putative membrane protein
SAR0892	900943	901560	617	putative membrane protein
SAR0893	901716	902210	494	hypothetical protein
dltA	902418	902468	50	hypothetical protein
dltB	902609	903031	422	phosphoglycerate mutase family protein
dltC	903179	903895	716	putative LysE type translocator protein
dltD	903978	904517	539	hypothetical protein
SAR0898	904667	904987	320	hypothetical protein
SAR0899	905131	905487	356	OsmC-like protein
SAR0900	905645	906025	380	putative type I 3-dehydroquinase
SAR0901	906203	907081	878	nitroreductase family protein
SAR0902	907672	908058	386	putative thioredoxin
SAR0903	908051	908347	296	conserved hypothetical protein
pepA	908597	909622	1025	glycine cleavage system H protein
SAR0905	909615	910310	695	conserved hypothetical protein
SAR0906	910328	911149	821	hypothetical protein
SAR0907	911965	912159	194	putative thioredoxin
mnhG	912393	913244	851	ABC transporter ATP-binding protein
mnhF	913572	914333	761	ABC transporter permease protein
mnhE	914431	915738	1307	putative lipoprotein
mnhD	915853	917094	1241	conserved hypothetical protein
mnhC	917084	917548	464	putative membrane protein
mnhB	917699	919096	1397	ABC transporter ATP-binding protein
mnhA	919428	919742	314	conserved hypothetical protein
SAR0915	920111	921151	1040	putative selenocysteine lyase
SAR0916	921165	922232	1067	NifU-like protein
SAR0917	922532	923380	848	conserved hypothetical protein
SAR0918	923393	924220	827	putative membrane protein
rocD	924247	925566	1319	putative membrane protein
SAR0920	925650	926567	917	putative dioxygenase
glpQ	926696	927079	383	conserved hypothetical protein
argH	927158	927424	266	putative membrane protein
argG	927522	927956	434	putative 5'-nucleotidase
SAR0924	927956	928735	779	putative lipoic acid synthetase
SAR0925	928768	929727	959	conserved hypothetical protein
spsA	930138	930290	152	conserved hypothetical protein
spsB	930306	931763	1457	conserved hypothetical protein
SAR0928	931760	932974	1214	haloacid dehalogenase-like hydrolase
SAR0929	932992	933228	236	D-isomer specific 2-hydroxyacid dehydrogenase
SAR0930	933225	934400	1175	putative membrane protein
SAR0931	934662	934904	242	D-alanine-D-alanyl carrier protein ligase
SAR0932	935005	935328	323	putative activated D-alanine transport protein
SAR0933	935388	936452	1064	D-alanyl carrier protein
SAR0934	936769	937005	236	putative lipoteichoic acid biosynthesis protein
SAR0935	937018	937377	359	conserved hypothetical protein
SAR0936	937831	939039	1208	conserved hypothetical protein
SAR0937	939170	940645	1475	putative pyridine nucleotide-disulphide
clpB	941056	942372	1316	conserved hypothetical protein
SAR0939	942391	942765	374	conserved hypothetical protein
SAR0940	942821	943975	1154	putative pyridine nucleotide-disulphide
SAR0941	944238	944594	356	cytosol aminopeptidase family protein
SAR0942	944572	944865	293	putative transporter protein
SAR0943	944865	945344	479	conserved hypothetical protein
SAR0944	945346	946842	1496	hypothetical protein
SAR0945	946835	947176	341	Na+/H+ antiporter subunit
fabH	947176	947604	428	Na+/H+ antiporter subunit
fabF	947597	950002	2405	Na+/H+ antiporter subunit
SAR0948	950133	950516	383	Na+/H+ antiporter subunit
oppB	950580	951173	593	Na+/H+ antiporter subunit
oppC	951588	951965	377	Na+/H+ antiporter subunit
oppD	952327	953454	1127	Na+/H+ antiporter subunit
oppF	953762	954952	1190	conserved hypothetical protein
SAR0953	955061	956305	1244	putative cyclophilin type peptidyl-prolyl
SAR0955	956700	957629	929	putative S1 RNA binding domain
appD	957871	959250	1379	NADH:flavin oxidoreductase / NADH oxidase family
appF	959240	960445	1205	ornithine aminotransferase
appC	960796	962127	1331	putative NAD-specific glutamate dehydrogenase
SAR0961	962453	963028	575	putative glycerophosphoryl diester
SAR0962	963033	963557	524	putative argininosuccinate lyase
SAR0963	963573	964148	575	putative argininosuccinate synthase
trpS	964308	967784	3476	putative glucose-6-phosphate isomerase
SAR0965	967785	971438	3653	putative membrane protein
SAR0966	971604	972506	902	putative signal peptidase Ia
SAR0967	972832	973221	389	signal peptidase Ib
pepB	973598	975244	1646	conserved hypothetical protein
SAR0969	975316	976632	1316	conserved hypothetical protein
SAR0970	976684	977508	824	fumarylacetoacetate (FAA) hydrolase family
SAR0971	977622	977930	308	putative membrane protein
SAR0972	977943	978068	125	putative transposase
SAR0973	978510	980324	1814	coenzyme A disulfide reductase
SAR0974	980527	983136	2609	putative haloacid dehalogenase-like hydrolase
SAR0975	983195	984064	869	conserved hypothetical protein
SAR0976	984175	985320	1145	hypothetical protein
SAR0977	985304	985945	641	putative membrane protein
fabI	985938	987056	1118	putative ATPase subunit of an ATP-dependent
SAR0979	987040	987555	515	LysR family regulatory protein
SAR0980	987866	988300	434	hypothetical protein
SAR0981	988557	988742	185	hypothetical protein
SAR0982	989038	989979	941	putative membrane protein
SAR0983	989991	991235	1244	conserved hypothetical protein
SAR0985	991290	991661	371	putative exported protein
SAR0986	991904	992830	926	putative membrane protein
SAR0987	992830	993900	1070	putative 3-oxoacyl-[acyl-carrier-protein]
murE	993916	994998	1082	3-oxoacyl-[acyl-carrier-protein] synthase II
SAR0989	994988	995929	941	putative membrane protein
prfC	995948	997603	1655	putative oligopeptide transport system permease
SAR0991	997815	998060	245	putative oligopeptide transport system permease
SAR0992	998073	999020	947	putative oligopeptide transport ATP-binding
SAR0993	1000655	1001641	986	putative oligopeptide transport ATP-binding
SAR0994	1001644	1002624	980	transport system extracellular binding
SAR0995	1002617	1003267	650	transport system extracellular binding
SAR0996	1003279	1004160	881	putative transposase
SAR0997	1004249	1005037	788	putative oligopeptide transport ATP-binding
SAR0998	1005258	1005815	557	putative oligopeptide transport ATP-binding
SAR0999	1006111	1007757	1646	putative oligopeptide transport system permease
SAR1000	1007784	1008773	989	putative oligopeptide transport system permease
SAR1001	1009068	1009463	395	putative transposase
SAR1002	1009834	1010553	719	putative insertion element protein
SAR1003	1010674	1011660	986	putative transposase
SAR1004	1011708	1013516	1808	putative tryptophanyl-tRNA synthetase
SAR1005	1013976	1014782	806	conserved hypothetical protein
SAR1006	1014805	1015170	365	regulatory protein
SAR1007	1015274	1015867	593	hypothetical protein
SAR1010	1016053	1016400	347	putative oligopeptidase
SAR1011	1016417	1017052	635	conserved hypothetical protein
SAR1012	1017069	1017878	809	protozoan/cyanobacterial globin family protein
SAR1013	1017875	1018729	854	conserved hypothetical protein
SAR1014	1018750	1020135	1385	conserved hypothetical protein
SAR1015	1020145	1021989	1844	conserved hypothetical protein
SAR1016	1022267	1023037	770	conserved hypothetical protein
SAR1017	1023233	1024318	1085	putative RNA pseudouridylate synthase
SAR1018	1024660	1026228	1568	putative divalent cation transport protein
menB	1026371	1027129	758	putative cation transport protein
sspC	1027295	1028020	725	enoyl-[acyl-carrier-protein] reductase [NADH]
sspB	1028022	1028873	851	putative membrane protein
sspA	1029169	1029300	131	sodium:alanine symporter family protein
SAR1023	1029615	1030124	509	conserved hypothetical protein
SAR1025	1030237	1031427	1190	hypothetical protein
atl	1031405	1032580	1175	hypothetical protein
SAR1027	1033012	1034496	1484	transposase (fragment)
SAR1028	1034486	1034737	251	conserved hypothetical protein
SAR1029	1034737	1036299	1562	putative membrane protein
fmt	1036601	1037404	803	conserved hypothetical protein
qoxD	1037638	1039947	2309	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-dia
qoxC	1039964	1041322	1358	hypothetical protein
qoxB	1041458	1042972	1514	peptide chain release factor 3
qoxA	1043461	1044030	569	putative membrane protein
SAR1035	1044231	1044458	227	putative protease
folD	1044539	1045525	986	putative sodium transport protein
purE	1045724	1045900	176	putative 5'-nucleotidase
purK	1045915	1046517	602	putative regulatory protein
purC	1046697	1046876	179	conserved hypothetical protein
SAR1041	1047536	1047817	281	putative lipoate-protein ligase A
purQ	1047861	1049825	1964	hypothetical protein
purL	1049828	1050148	320	putative membrane protein
purF	1050145	1050786	641	hypothetical protein
purM	1050874	1051164	290	putative exported protein
purN	1051201	1051308	107	putative membrane protein
purH	1051505	1051792	287	putative exported protein
purD	1051798	1053278	1480	ABC transporter ATP-binding protein
SAR1049	1053367	1053723	356	putative membrane protein
SAR1050	1054214	1055173	959	hypothetical protein
SAR1051	1055220	1055336	116	hypothetical protein
SAR1052	1055415	1055630	215	putative glycosyl transferases (pseudogene)
SAR1053	1055795	1056346	551	putative membrane protein
SAR1054	1056398	1057336	938	transport system extracellular binding
SAR1055	1057509	1058879	1370	hypothetical protein
ptsH	1058866	1060539	1673	putative membrane protein
ptsI	1060526	1061329	803	acetyltransferase (GNAT) family protein
SAR1058	1061322	1062143	821	UbiA prenyltransferase family protein
SAR1059	1062379	1062708	329	putative chorismate binding enzyme
SAR1060	1062746	1063927	1181	putative menaquinone biosynthesis bifunctional
SAR1061	1064009	1065082	1073	putative hydrolase
SAR1063	1065610	1066764	1154	putative naphthoate synthase
SAR1064	1066959	1067957	998	hypothetical protein
SAR1065	1068123	1068542	419	cysteine protease precursor
SAR1066	1068750	1072523	3773	glutamyl endopeptidase precursor
pdhA	1072751	1073185	434	putative aminotransferase
pdhB	1073341	1073811	470	putative membrane protein (pseudogene)
pdhC	1073859	1075085	1226	MarR family regulatory protein
pdhD	1075526	1076719	1193	bifunctional autolysin precursor
SAR1071	1077062	1077352	290	acetyltransferase (GNAT) family protein
SAR1072	1077349	1077954	605	conserved hypothetical protein
SAR1073	1077944	1079932	1988	putative exported protein
SAR1074	1079932	1081032	1100	autolysis and methicillin resistant-related
SAR1075	1081604	1081921	317	putative quinol oxidase polypeptide IV
SAR1076	1082761	1083621	860	putative quinol oxidase polypeptide III
SAR1077	1083822	1084304	482	putative quinol oxidase polypeptide I
SAR1078	1084291	1085415	1124	putative quinol oxidase polypeptide II
SAR1079	1085419	1086123	704	putative exported protein
SAR1080	1086123	1086386	263	FolD bifunctional protein [includes:
SAR1081	1086388	1087059	671	putative phosphoribosylaminoimidazole
SAR1082	1087052	1089241	2189	putative phosphoribosylaminoimidazole
SAR1083	1089220	1090704	1484	putative
SAR1084	1090697	1091725	1028	conserved hypothetical protein
SAR1085	1091728	1092294	566	putative phosphoribosylformylglycinamidine
SAR1086	1092309	1093787	1478	putative phosphoribosylformylglycinamidine
SAR1087	1093809	1095056	1247	putative amidophosphoribosyltransferase
SAR1088	1095324	1096145	821	putative phosphoribosylformylglycinamidine
ctaA	1096123	1097523	1400	putative phosphoribosylglycinamide
ctaB	1097538	1098113	575	putative bifunctional purine biosynthesis
SAR1091	1098697	1098831	134	putative phosphoribosylamine--glycine ligase
SAR1092	1098983	1100278	1295	putative cobalt transport protein
SAR1093	1100703	1101875	1172	ABC transporter ATP-binding protein
SAR1094	1101929	1102471	542	putative membrane protein
SAR1095	1102625	1102891	266	hypothetical protein
SAR1096	1102894	1104612	1718	putative membrane protein
SAR1097	1104849	1105082	233	conserved hypothetical protein
coaD	1105280	1106641	1361	hypothetical protein
SAR1099	1106638	1107657	1019	histidine-containing phosphocarrier protein
SAR1100	1107790	1108452	662	phosphoenolpyruvate-protein phosphotransferase
rpmF	1108800	1110497	1697	putative glutaredoxin
isdB	1110497	1110715	218	putative cytochrome ubiquinol oxidase
isdA	1111197	1111748	551	putative membrane protein
isdC	1112113	1112739	626	putative potassium transport protein
isdD	1112910	1114022	1112	conserved hypothetical protein
isdE	1114026	1115003	977	conserved hypothetical protein
isdF	1115094	1116386	1292	putative polypeptide deformylase 2
srtB	1116390	1117796	1406	putative lipoprotein
SAR1109	1117967	1118242	275	putative pyruvate dehydrogenase E1 component,
SAR1109a	1118386	1118925	539	putative pyruvate dehydrogenase E1 component,
SAR1110	1118938	1120032	1094	dihydrolipoamide acetyltransferase component of
pheS	1120025	1120822	797	dihydrolipoamide dehydrogenase
pheT	1120828	1121637	809	conserved hypothetical protein
SAR1113	1121637	1122710	1073	putative DNA-binding protein
SAR1114	1122784	1123803	1019	putative ABC transport ATP-binding protein
SAR1115	1124086	1124505	419	putative ABC transport system permease protein
SAR1116	1124587	1125939	1352	putative ABC transport system permease protein
SAR1117	1126123	1126737	614	ABC transporter extracellular binding protein
trxA	1126894	1127721	827	putative membrane protein
uvrC	1127875	1128066	191	putative membrane protein
sdhC	1128168	1130015	1847	putative manganese transport protein
sdhA	1130154	1130321	167	conserved hypothetical protein
sdhB	1130323	1130805	482	inositol monophosphatase family protein
murI	1130946	1131221	275	putative membrane protein
SAR1124	1131535	1132761	1226	BipA family GTPase
SAR1125	1133314	1136766	3452	conserved hypothetical protein
SAR1126	1137034	1137945	911	conserved hypothetical protein
SAR1127	1138396	1139307	911	conserved hypothetical protein
SAR1129	1139332	1139793	461	putative cell division protein
fib	1140120	1141157	1037	putative pyruvate carboxylase
SAR1131	1141173	1141607	434	putative heme A synthase
SAR1132	1141674	1142603	929	putative protoheme IX farnesyltransferase
SAR1133	1142842	1143096	254	putative membrane protein
SAR1133a	1143099	1143488	389	putative membrane protein
SAR1134	1143558	1144100	542	conserved hypothetical protein
hla	1144102	1144584	482	putative exported protein
SAR1137	1144646	1145785	1139	conserved hypothetical protein
SAR1138	1145912	1146469	557	conserved hypothetical protein
SAR1139	1146549	1146722	173	putative methylase
SAR1140	1146876	1148834	1958	putative phosphopantetheine adenylyltransferase
SAR1141	1149036	1150100	1064	conserved hypothetical protein
otc	1150309	1150992	683	conserved hypothetical protein
SAR1143	1150992	1152068	1076	50S ribosomal protein L32
SAR1144	1152065	1152943	878	iron-regulated heme-iron binding protein
SAR1146	1152953	1153921	968	iron-regulated heme-iron binding protein
SAR1147	1153983	1154717	734	putative surface anchored protein
SAR1148	1154736	1155059	323	putative membrane protein
SAR1150	1155096	1155203	107	putative transport system extracellular binding
SAR1151	1155443	1156183	740	iron/heme permease
SAR1152	1156564	1157622	1058	sortase B
